Query.Mass,Matched.Compound,Matched.Form,Retention.Time,Mass.Diff,Empirical.Compound
593.4946,C00165,M-C3H4O2+H[1+],7.58,0.00174823992995243,EC00027
621.5216,C00165,M-CO2+H[1+],9.36,0.00255176006999136,EC00026
621.5238,C00165,M-CO2+H[1+],9.24,0.000351760069975171,EC00026
629.4908,C00165,M-H4O2+H[1+],9.53,0.00195176007002829,EC00026
637.5164,C00165,M-CO+H[1+],8.24,0.00255176007010505,EC00026
637.51649,C00165,M-CO+H[1+],9.32,0.0024617600701049,EC00026
637.518,C00165,M-CO+H[1+],8.49,0.000951760070051932,EC00026
637.5184,C00165,M-CO+H[1+],8.15,0.000551760070038654,EC00026
637.5203,C00165,M-CO+H[1+],7.93,0.00134823992993915,EC00026
647.5006,C00165,M-H2O+H[1+],8.43,0.00275176007016853,EC00026
647.5008,C00165,M-H2O+H[1+],8.63,0.00255176007010505,EC00026
647.5011,C00165,M-H2O+H[1+],9.46,0.00225176007018035,EC00026
647.5012,C00165,M-H2O+H[1+],9.19,0.00215176007009177,EC00026
665.5114,C00165,M+H[1+],9.05,0.00255176007010505,EC00026
665.5128,C00165,M+H[1+],8.37,0.00115176007011542,EC00026
683.5217,C00165,M+H2O+H[1+],8.26,0.00285176007002974,EC00026
683.5218,C00165,M+H2O+H[1+],8.52,0.00275176007005484,EC00026
687.4937,C00165,M+Na[1+],7.94,0.00225176007006667,EC00026
687.495,C00165,M+Na[1+],9.19,0.000951760070051932,EC00026
687.4972,C00165,M+Na[1+],7.52,0.00124823992996426,EC00027
703.4687,C00165,M+K[1+],8.69,0.000751760070102137,EC00026
703.4694,C00165,M+K[1+],9.19,5.17600701641641e-05,EC00026
251.2732,C00174,M-HCOOH+H[1+],5.79,0.000206866569982367,EC00028
261.2575,C00174,M-H4O2+H[1+],4.92,0.000106866569979047,EC00028
261.2576,C00174,M-H4O2+H[1+],5.15,6.86656994730583e-06,EC00028
261.25761,C00174,M-H4O2+H[1+],4.99,3.13343002744659e-06,EC00028
261.25763,C00174,M-H4O2+H[1+],4.83,2.31334300337949e-05,EC00028
261.25764,C00174,M-H4O2+H[1+],5.07,3.31334300085473e-05,EC00028
269.2828,C00174,M-CO+H[1+],5.77,0.0010068665699805,EC00028
269.2834,C00174,M-CO+H[1+],4.8,0.000406866570017428,EC00028
269.2837,C00174,M-CO+H[1+],6.28,0.000106866569979047,EC00029
279.268,C00174,M-H2O+H[1+],5.07,0.000206866570010789,EC00028
279.2681,C00174,M-H2O+H[1+],5.37,0.000106866569979047,EC00028
279.2682,C00174,M-H2O+H[1+],4.92,6.86657000414925e-06,EC00028
279.26828,C00174,M-H2O+H[1+],4.83,7.31334300212438e-05,EC00028
297.2784,C00174,M+H[1+],9.07,0.000406866570017428,EC00030
