m.z,rt,p.value,t.score
640.5875,9.68,0.0869292601218279,1.26750333333333
642.6031,9.97,0.00795556806174134,0.961245166666666
660.5555,9.06,0.0194912107671467,1.87117033333333
662.5719,9.37,0.00021530955380893,3.4733195
740.6762,10.95,0.149680926874264,1.51513166666667
764.6759,10.84,0.0873272680763174,1.367517
766.6915,11.04,0.0443734077467826,1.88104683333333
768.7074,11.31,0.378063333111216,0.96918016666667
790.691,10.9,0.329007463102642,-0.672727999999998
792.7074,11.14,0.34001497608541,0.851308166666666
794.723,11.4,0.0321327310798294,1.81227483333333
796.7387,11.66,0.0213138390226379,1.73512833333333
816.7075,10.98,0.977783466623766,0.0418084999999999
818.7234,11.25,0.111697798595133,1.1364285
820.7392,11.5,0.0365183389007624,2.451091
822.7557,11.74,0.00111714949017656,1.55254666666667
824.7698,11.98,0.105918210005513,1.11078316666667
836.769,11.9,0.405781645949266,0.942334666666665
842.7233,11.09,0.369539934808572,0.650969666666666
844.7389,11.33,0.0670394253557238,1.43506983333333
846.7542,11.58,0.122260094310654,1.64711083333333
848.7695,11.82,0.142989973107603,1.33693833333333
850.7855,12.07,0.260350663646689,0.597496833333333
852.8012,12.34,0.0809798113530151,1.06818683333333
860.7693,11.75,0.386808441355122,0.637361000000001
862.7851,12,0.0183673655584745,1.00420583333333
864.8026,12.25,0.02928763534486,0.866071
866.8138,12.56,0.0149433019518896,0.461049333333334
868.7388,11.19,0.325063196881165,1.23106516666667
870.7542,11.43,0.212221842066659,1.23939
872.7698,11.67,0.23823293956505,1.07965083333333
874.7853,11.92,0.19935838645445,1.19903016666667
876.8009,12.18,0.0869292601218279,1.39905066666667
878.8167,12.42,0.0921613098157117,1.08397883333333
880.8327,12.69,0.0938613137928394,1.23833966666667
888.8025,12.1,0.158893226252871,0.839165166666666
890.815,12.35,0.0284215908515034,0.997852833333332
896.7697,11.52,0.429379129445715,0.729441999999999
898.7856,11.77,0.176805933677072,0.981023666666666
900.802,12.03,0.0863960397581229,1.06002516666667
902.8168,12.28,0.0677828813862039,1.31083916666667
904.8325,12.53,0.0405832693170267,1.08728133333333
924.8009,11.87,0.0616799440894848,1.4985495
928.832,12.36,0.2581757512011,1.1909125
930.8483,12.63,0.0590647500342539,2.4963545
932.8638,12.91,0.160297339021202,1.48373183333333
934.8789,13.21,0.816879918460462,0.227439
520.334,1.5,0.363614569377721,0.756994166666666
