"p.value","m.z","t.score","r.t"
0.0525125211790341,654.5451,-1.75278933333333,8.48
0.119947816974108,659.501,-0.898450499999999,8.48
0.429308573080021,675.4759,-0.537833833333334,8.48
0.0835174035021377,677.4529,-1.07557433333333,8.48
0.35483185229301,705.4677,-0.787457833333333,8.48
0.649290935080122,709.5221,-0.172405833333335,8.48
0.973705914697019,725.4958,-0.0207938333333332,8.48
0.106180618808612,279.2317,-0.737752333333334,8.49
0.00980767799304721,360.2981,2.34712016666667,8.49
0.498483869512037,561.4877,-0.595717666666669,8.49
0.554097655182633,594.5088,-0.526968999999999,8.49
0.963820883392713,598.5186,0.0497463333333315,8.49
0.295087918764769,615.4378,0.700404999999998,8.49
0.428344582418692,617.4518,-0.573251166666667,8.49
0.279805758935517,637.518,-1.00338083333333,8.49
0.505506025597623,640.5368,-0.264060500000001,8.49
0.794503810913171,679.5488,-0.148791166666666,8.49
0.0301712978287672,465.4289,1.7000025,8.5
0.406532886917384,586.4391,0.469991833333332,8.5
0.894392903274276,596.5406,-0.105862333333334,8.5
0.822041600177058,613.5153,0.230915166666667,8.5
0.99411524959803,617.4697,-0.0065385000000023,8.5
0.468129644781923,655.555,0.652986666666667,8.5
0.438714986765503,677.5597,-0.648536999999999,8.5
0.857293802021427,679.5263,-0.129396,8.5
0.514370116931004,680.5783,-0.556716000000001,8.5
0.352743993187207,696.6495,0.962870833333334,8.5
0.579332708113638,710.5921,0.473307833333333,8.5
0.363607937859118,728.6029,0.645344166666668,8.5
0.286898832739766,746.5688,1.02046883333333,8.5
0.0301897349301422,750.5851,1.31319016666667,8.5
0.79794390392372,776.5844,0.398951833333331,8.5
0.691831001630297,778.5516,0.238285500000001,8.5
0.587109825692859,858.6445,0.489712,8.5
0.800684241654375,936.6616,-0.157832000000001,8.5
0.30882042949969,941.6165,0.512233333333332,8.5
0.575765643678506,281.2463,0.2671165,8.51
0.589133502166727,355.2835,0.261978333333333,8.51
0.0690065400193458,369.3725,1.4710405,8.51
0.483845561512157,383.315,0.743523,8.51
0.70592195937406,391.3544,-0.209025166666667,8.51
0.963234270892553,407.3285,0.0264264999999989,8.51
0.398369726732904,511.4724,-0.455736833333333,8.51
0.626208185231093,553.5217,-0.410959166666667,8.51
0.2892494344297,572.4885,1.04412433333333,8.51
0.699793807692525,575.3405,0.177034666666665,8.51
0.0983766746130308,577.4437,2.712736,8.51
0.0461052113640215,593.4175,2.10321316666667,8.51
0.392456931216796,651.496,-0.438527166666667,8.51
0.0158042111742773,662.5915,-1.66180666666667,8.51
0.545679689281189,679.5501,-0.323660833333334,8.51
0.682411228854339,683.5008,0.353247333333333,8.51
0.929878255348623,691.5231,-0.107477000000001,8.51
0.526870538967194,699.4745,-0.484430333333332,8.51
0.248831719454766,746.6153,0.989464833333333,8.51
0.94690467428841,761.5942,-0.0974228333333344,8.51
0.263863849743214,957.5902,0.710802333333335,8.51
0.458882771903892,1074.0618,0.324631499999997,8.51
0.0260968140000793,537.5355,0.339268666666665,8.52
0.00368635788817335,559.5167,0.608032833333332,8.52
0.0355716182321301,568.5763,0.427639333333333,8.52
0.015290477713233,575.4913,0.621467166666666,8.52
0.0317778264101733,582.593,0.437251333333334,8.52
0.55197379214921,595.4698,0.436599999999999,8.52
0.0171529256445841,595.5884,0.434868999999999,8.52
0.0628716483947783,604.5296,-0.909200000000001,8.52
0.0125064054973856,610.6244,0.717254333333331,8.52
0.11512388125901,616.5054,0.888355999999999,8.52
0.264875202790935,616.5283,-0.706245333333334,8.52
0.0215424365781384,641.5504,1.79223783333334,8.52
0.0572640058831963,667.5479,-0.850535666666669,8.52
0.0916908932056872,683.5218,-0.785808500000002,8.52
0.129460268605941,696.5557,-1.22391783333333,8.52
0.368304675770161,766.5569,0.442828499999999,8.52
0.834589847403877,781.5208,0.195814666666664,8.52
0.0365804067168698,1096.0447,1.08719,8.52
0.137584904460553,445.3679,0.808778666666667,8.53
0.0596710631777419,534.5248,-0.937910833333331,8.53
0.858605247253311,537.5026,-0.260619666666668,8.53
0.0608941256543302,552.5354,-1.10240866666667,8.53
0.213077326791139,591.4755,-1.0756965,8.53
0.499552783873655,608.5,0.556813499999999,8.53
0.0915404961838691,614.551,-0.885666166666668,8.53
0.0736811873752531,645.5566,-1.46179616666667,8.53
0.192026361263762,646.5403,-0.535978000000001,8.53
0.0136017440989656,701.5106,-1.49058616666667,8.53
0.468803146233672,768.5934,0.455356,8.53
0.816093371047482,795.6316,0.277108,8.53
